Cell	Exp
7	65.65557087518876
12	62.57822277847309
22	98.47365829640572
37	117.23329425556858
48	83.73806732540613
49	312.40237425804435
50	146.16677629174887
51	553.7098560354375
60	434.2162396873643
65	133.9046598821639
70	86.03630732168975
74	185.97731076808628
75	77.01786814540974
95	352.4850193866761
103	141.4827391058291
106	77.07723138584862
116	85.14986376021798
130	115.63367252543941
138	38.23360734085261
144	144.82259232440262
147	339.44331296673454
158	253.71051630090068
160	447.2271914132379
162	100.53282396702524
171	247.64735017335315
175	322.26877215597807
192	242.18939210462582
199	199.24287706714486
205	135.98041881968996
210	97.43739647276625
229	174.64198393293748
230	25.180671316697303
235	162.65452179570593
237	201.6942315449778
245	103.12467773538208
247	85.43357539513029
255	193.05019305019306
268	112.8286133363421
270	94.16195856873823
300	69.32409012131716
305	144.11298457991066
310	249.06600249066003
321	91.86954524575103
325	83.80122349786306
327	69.62091412260243
328	240.84778420038535
331	187.72292096865027
339	45.11413877109086
343	137.5137513751375
362	184.43378827001106
364	261.30128037627384
380	136.80826321909842
385	33.75869286341233
390	236.35074450484518
391	100.50251256281408
394	90.54690329590728
397	252.97242600556538
446	153.75153751537516
457	250.68939583855604
461	214.4082332761578
471	53.475935828877006
474	40.29658284977434
477	61.3685179502915
490	155.06280043417584
497	130.05592404734037
503	145.24328249818447
524	145.87892049598833
528	197.47235387045814
530	121.00677637947724
540	96.33911368015414
550	199.70044932601098
551	107.3998496402105
580	77.96663028223921
586	92.86775631500743
592	125.67550584391103
596	132.27513227513228
597	115.2073732718894
598	111.88185276348176
599	201.6535591853196
607	63.926356836923866
615	182.93798402341608
619	86.21432882145012
621	207.64119601328903
625	186.3238308179616
637	40.73983541106494
638	335.6831151393085
640	343.17089910775564
643	64.84243288808196
646	170.76502732240436
656	160.51364365971108
665	181.8512456810329
669	111.89437171310283
672	256.60764690787784
681	42.07514621113308
711	40.52520667855406
715	164.09583196586806
716	83.59806052499582
723	199.2825827022718
743	182.882223847842
758	81.61266628580756
777	85.53588230262595
782	86.5276455827637
797	91.49967975112087
808	781.657113079729
857	214.5002145002145
889	110.90163025396474
900	1497.005988023952
901	226.09088853719194
903	163.07893020221786
904	90.67005168192946
910	170.1693184718795
915	152.5087692542321
920	192.4557351809084
921	50.53057099545225
923	86.25150940141452
926	130.47165503294408
927	99.06875371507826
939	68.03183890060548
945	249.19013207077
947	100.72522159548751
957	306.4664419246092
969	224.82014388489208
983	78.01529099703542
991	52.295784959732245
998	40.965138666994385
1003	103.47682119205298
1004	79.27070947284979
1019	242.5418384671356
1028	38.90293717175647
1034	37.312040595500164
1036	323.46757237586934
1043	128.05736970162633
1065	532.4813631522896
1075	141.7032733456143
1087	187.44142455482663
1089	204.30400435848543
1090	139.86013986013987
1103	149.43215780035862
1115	56.70220004536176
1118	110.3996467211305
1122	207.98668885191347
1137	135.2447930754666
1150	115.27377521613833
1154	266.52452025586354
1159	190.50038100076202
1178	412.71151465125877
1183	320.7184092366902
1184	299.9400119976005
1191	42.68761205498164
1209	99.52229299363057
1216	66.6266906522753
1231	86.78672163159037
1243	223.71364653243847
1245	131.61358252171624
1250	99.59167413604223
1256	73.03534910896875
1258	216.12275772638858
1275	346.1804754211862
1277	91.54155986818016
1284	61.33840397472858
1285	263.08866087871615
1289	164.06890894175552
1300	84.61668641056016
1301	149.0979573579842
1324	33.81005511038983
1334	282.4858757062147
1339	83.79420144126027
1343	399.2015968063872
1353	117.55025273304338
1355	206.18556701030928
1359	40.6371911573472
1364	34.06922867266285
1376	102.35414534288638
1382	289.1844997108155
1383	127.8363694471077
1384	265.7454158915759
1385	283.7684449489217
1389	125.23481527864746
1398	85.38251366120218
1430	68.99882701994066
1435	226.55188038060717
1452	195.46520719311962
1455	255.10204081632654
1459	141.622999575131
1463	127.68130745658836
1469	139.8014818957081
1471	63.38742393509128
1479	53.949072075960295
1482	335.1206434316354
1485	132.6435866825839
1492	62.20452848967405
1494	303.7667071688943
1497	198.09825673534073
1505	220.26431718061673
1513	58.24790307548928
1526	112.79043537108053
1529	235.68230025925052
1556	101.15314586283634
1568	259.7402597402597
1577	61.001647044470204
1583	127.00025400050801
1584	93.01892935212315
1593	84.72422265525714
1599	211.1932418162619
1600	290.6131938390003
1610	101.7708121310808
1613	231.107002542177
1616	50.05506056662328
1629	257.0033410434336
1633	149.61101137043687
1647	104.75591870940708
1648	41.089698812507706
1649	148.47809948032665
1655	77.05347511172754
1657	158.07777426493834
1658	100.07004903432403
1671	110.15642211940956
1685	303.030303030303
1711	129.29919834497025
1712	101.9367991845056
1720	279.17364600781684
1788	166.47244880972198
1794	104.7998323202683
1803	121.62490878131841
1817	229.20009168003668
1829	309.6934035305048
1835	444.44444444444446
1840	67.24723445748293
1845	129.67365463583315
1886	100.03000900270081
1895	166.58337497917708
1911	251.06703489831784
1913	94.09993413004611
1919	46.68970025212438
1925	218.67483052700635
1932	86.07333448097779
1942	128.0737704918033
1953	155.76323987538942
1961	192.8268414963363
1967	69.95452955578874
1978	146.75667742882302
1985	226.44927536231884
1986	71.42346975216056
1997	247.5860361475613
1998	102.03040506070809
2006	259.40337224383916
2009	350.87719298245617
2014	299.4011976047904
2019	252.33409033560434
2023	92.03865623561896
2030	34.30884825196418
2045	64.05739542630197
2056	125.7387149503332
2059	60.595043325455975
2074	184.33179723502303
2095	229.33149868134387
2099	296.2085308056872
2101	162.57519102584945
2116	176.522506619594
2123	79.88496564946477
2129	97.58953840148337
2136	46.55926995064717
2162	225.3267237494367
2167	53.183002712333135
2173	122.56403971074887
2175	312.6954346466542
2202	379.5066413662239
2213	62.53908692933083
2220	309.6934035305048
2222	61.22948812147931
2229	290.9937436345119
2269	184.67220683287167
2279	70.66139061616732
2299	82.3587547356284
2305	173.94329448599757
2315	187.47656542932134
2326	106.54165778819518
2330	230.30861354214647
2337	106.78626728602701
